code,additives_n,energy_100g,fat_100g,fiber_100g,proteins_100g,sugars_100g,sodium_100g,salt_100g,carbohydrates_100g,healthy
00015769,1.0,448.0,5.2,2.3,2.3,5.1,0.16,0.4,11.5,1.0
00016940,0.0,2071.0,23.8,7.7,5.8,25.6,0.04,0.1,60.5,0.0
000173182,13.0,1674.0,12.0,9.6,30.0,2.3,0.22,0.55,37.0,
00018593,1.0,1133.0,7.5,7.5,3.0,18.6,0.22,0.55,43.8,0.0
00018999,0.0,1431.0,1.6,3.6,7.0,0.6,0.032,0.08,73.0,1.0
0002000000288,0.0,1294.66,11.97,9.89,6.96,23.48,0.017,0.0425,39.85,1.0
0002000000776,1.0,828.0,12.0,4.9,22.0,0.6,1.16,2.9,0.6,
0002000002404,1.0,527.0,4.5,2.5,4.0,3.0,0.28,0.7,16.0,
0002000002466,2.0,904.0,2.9,3.0,4.0,0.7,0.38,0.95,44.0,1.0
0002000003104,0.0,1423.0,1.5,8.2,22.0,2.4,0.008,0.02,55.6,
0002000006754,2.0,1903.0,29.0,2.6,6.6,32.0,0.112,0.28,41.0,0.0
0002000008390,2.0,1360.0,4.0,4.6,19.3,1.5,1.72,4.3,50.5,0.0
0002000008536,1.0,1527.0,13.0,2.0,3.0,25.0,0.148,0.37,55.0,0.0
0002000010775,0.0,1033.0,12.0,5.5,16.0,2.4,0.52,1.3,16.0,1.0
0002000012847,0.0,1351.0,10.8,8.0,8.1,8.0,0.04,0.1,48.6,
00020022,1.0,460.0,2.7,1.0,6.9,1.1,0.092,0.23,14.2,1.0
00020336,3.0,573.0,6.8,1.5,5.0,1.5,0.6,1.5,13.3,0.0
00020633,4.0,552.0,5.9,1.2,6.3,2.6,0.16,0.4,12.8,1.0
00020985,0.0,1497.0,1.4,3.0,12.2,1.9,0.04,0.1,71.4,1.0
00021036,0.0,410.0,6.8,3.1,3.8,3.5,0.24,0.6,3.8,
000212488,1.0,1573.0,4.1,2.7,74.0,0.0,0.412,1.03,9.4,0.0
00021456,1.0,502.0,4.0,1.8,6.1,2.1,0.108,0.27,14.1,1.0
000224,7.0,1979.0,25.0,2.5,5.8,32.0,0.252,0.63,55.0,0.0
000225,2.0,1962.0,25.0,2.2,5.8,32.0,0.28,0.7,54.0,
000225586,4.0,1954.0,19.0,1.9,20.0,40.0,0.072,0.18,53.0,0.0
000227,8.0,1807.0,20.0,1.0,5.3,37.0,0.28,0.7,57.0,0.0
00022941,1.0,1322.0,26.7,1.6,13.3,1.4,0.432,1.08,4.8,
00023092,2.0,2030.0,26.8,1.9,6.0,29.4,0.148,0.37,54.2,0.0
00023108,3.0,1933.0,21.0,1.5,5.0,36.9,0.2,0.5,62.6,
000231976,0.0,1858.0,29.0,28.0,23.0,0.5,0.0,0.0,8.8,1.0
00024587,4.0,506.0,3.7,1.2,7.7,1.1,0.088,0.22,13.0,1.0
00025638,0.0,695.0,4.7,2.3,7.0,2.8,0.276,0.69,23.0,1.0
000256672,5.0,1435.0,0.7,1.4,80.0,0.4,0.016,0.04,4.6,1.0
00025744,1.0,1690.0,27.0,1.7,13.2,1.8,0.42,1.05,26.1,0.0
0002601672587,2.0,468.0,3.0,0.0,20.0,0.6,0.72,1.8,1.0,0.0
00028059,0.0,2209.0,30.4,1.6,5.1,17.8,0.356,0.89,58.2,
00028264,4.0,1665.0,10.4,4.2,8.4,16.2,0.532,1.33,64.8,0.0
00029551,5.0,1473.0,0.5,0.5,0.1,62.6,0.172,0.43,86.7,
00030977,0.0,272.0,2.3,0.8,5.6,5.3,0.04,0.1,5.3,1.0
00031103,8.0,1418.0,23.2,0.3,5.0,20.4,0.24,0.6,27.5,0.0
00031141,1.0,1966.0,28.6,2.1,6.2,32.3,1.28,3.2,45.9,0.0
00031172,12.0,1264.0,11.3,1.1,4.3,27.8,0.12,0.3,45.2,0.0
00031288,10.0,1155.0,9.9,1.8,5.0,26.0,0.068,0.17,41.0,0.0
00031318,1.0,310.0,0.2,1.4,0.6,16.0,0.04,0.1,17.4,1.0
00031561,2.0,322.0,2.1,0.7,4.9,8.9,0.04,0.1,9.3,1.0
00031646,1.0,234.0,0.0,0.7,0.0,13.0,0.0,0.0,14.0,1.0
00031677,1.0,264.0,0.1,1.8,0.3,13.0,0.12,0.3,14.0,1.0
00031858,1.0,188.0,2.1,0.8,0.8,2.4,0.3,0.75,5.3,0.0
00031882,0.0,322.0,0.4,1.8,0.3,12.3,0.004,0.01,16.8,1.0
00032056,0.0,696.0,0.7,1.5,5.5,0.7,0.004,0.01,33.2,0.0
00032810,10.0,1510.0,20.0,1.9,5.5,24.0,0.052,0.13,38.0,0.0
00032841,8.0,1523.0,23.0,3.8,4.3,23.0,0.06,0.15,33.0,0.0
00032858,8.0,996.0,8.6,3.3,2.6,21.7,0.04,0.1,35.8,0.0
00033312,2.0,322.0,0.5,1.8,0.4,12.3,0.004,0.01,16.8,1.0
00033817,2.0,707.0,5.6,2.6,5.8,21.6,0.04,0.1,22.7,0.0
00035316,0.0,267.0,2.4,1.7,5.7,4.5,0.04,0.1,4.6,1.0
00043366,0.0,586.0,5.2,2.8,3.1,3.2,0.22,0.55,18.8,1.0
00043427,2.0,569.0,2.6,1.9,6.3,5.6,0.472,1.18,20.9,
00043533,0.0,490.0,0.4,0.1,25.5,2.4,0.372,0.93,2.9,
00050715,2.0,2021.0,20.5,0.2,2.2,53.7,0.38,0.95,72.2,
00051446,0.0,234.0,0.4,0.5,8.3,4.8,0.079,0.1975,4.9,1.0
00053587,3.0,1047.0,10.3,1.9,13.2,3.9,0.46,1.15,25.1,0.0
00054751,3.0,2021.0,28.5,5.8,12.8,39.7,0.068,0.17,40.4,
00054782,2.0,582.0,5.3,1.6,3.5,4.7,0.16,0.4,18.4,1.0
0005539498014,1.0,455.0,1.5,0.0,23.0,0.5,0.72,1.8,0.5,0.0
0006345049070,1.0,761.0,8.2,0.0,27.0,0.05,0.6,1.5,0.1,0.0
00065252,4.0,1075.0,7.2,1.8,7.2,9.4,0.38,0.95,40.0,0.0
00065269,4.0,1155.0,9.7,1.5,6.6,15.1,0.22,0.55,39.8,0.0
00065443,1.0,1268.0,0.3,9.3,2.0,36.9,0.004,0.01,68.2,0.0
000721,3.0,1482.0,3.5,1.2,7.0,48.0,0.164,0.41,72.0,0.0
00073059,2.0,2017.0,28.6,3.6,5.8,41.8,0.06,0.15,48.6,0.0
00073929,0.0,460.0,5.5,0.5,2.9,11.8,0.04,0.1,12.3,
00074292,6.0,1870.0,15.5,6.4,9.6,23.4,0.02,0.05,64.0,
00075398,0.0,105.0,0.6,1.1,1.2,2.2,0.02,0.05,3.2,
00076739,1.0,845.0,0.4,4.1,2.2,23.0,0.04,0.1,45.4,1.0
00078085,0.0,1577.0,11.6,10.9,11.1,18.8,0.06,0.15,51.6,
00078887,0.0,155.0,0.1,0.1,0.1,8.5,0.04,0.1,9.0,
00078900,2.0,423.0,2.2,1.3,4.8,8.3,0.032,0.08,14.9,1.0
00081818,3.0,674.0,4.6,0.2,3.7,17.0,0.128,0.32,26.0,0.0
00082419,3.0,2013.0,19.8,1.6,5.1,54.9,0.16,0.4,69.9,0.0
00083164,0.0,586.0,3.8,1.5,9.3,0.5,0.24,0.6,16.2,1.0
0008346026357,5.0,1770.0,15.4,15.4,7.69,38.5,0.481,1.2,69.2,
0008361860202,2.0,280.0,0.0,0.0,0.5,14.0,0.008,0.02,16.0,0.0
00085,0.0,1139.0,8.0,62.5,17.0,0.6,0.04,0.1,1.7,0.0
00088008,2.0,623.0,7.3,1.8,7.5,1.3,0.16,0.4,12.4,1.0
00088588,2.0,1866.0,26.0,1.2,6.6,26.0,0.36,0.9,46.0,0.0
00088909,0.0,88.0,0.1,0.0,0.7,4.0,0.0,0.0,4.4,0.0
00089,0.0,1163.0,16.7,1.0,3.3,23.0,0.0,0.0,28.2,
00089227,0.0,556.0,8.4,1.7,4.3,4.6,0.316,0.79,9.1,0.0
00089241,0.0,1452.0,1.9,6.9,12.9,2.5,0.04,0.1,66.0,1.0
00093897,2.0,707.0,7.5,2.0,6.7,1.8,0.232,0.58,18.1,
00093910,2.0,699.0,7.7,1.2,7.2,2.7,0.23,0.575,16.6,1.0
00094702,2.0,866.0,12.0,2.0,7.0,1.2,0.352,0.88,16.7,
0009800007394,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
0009800125104,0.0,2510.0,43.333332,3.3333333,6.6666665,43.333332,0.06666667,0.16666667,46.666668,0.0
00099158,0.0,1423.0,0.0,1.0,8.0,1.0,0.0,0.0,79.0,1.0
00099189,0.0,1841.0,14.6,4.3,6.8,0.4,0.32,0.8,68.1,1.0
0010041001010,0.0,293.0,0.0,4.0,5.0,0.0,0.092,0.23,13.0,1.0
0010041001027,0.0,1423.0,19.06,3.0,4.0,26.5,0.104,0.26,27.0,0.0
0010041001140,0.0,1243.0,28.0,3.5,3.5,0.0,0.112,0.28,0.35,0.0
00101356,3.0,2029.0,21.54,2.31,5.38,30.77,0.24,0.6,65.38,
0010230890906,0.0,448.0,0.9,6.0,5.5,1.7,0.0,0.0,16.3,
00102391,0.0,1690.0,15.2,6.3,7.8,21.5,0.04,0.1,55.9,
00103350,2.0,1494.0,13.0,2.4,6.2,19.9,0.52,1.3,52.7,0.0
00108577,3.0,523.0,8.3,0.0,9.1,0.9,0.36,0.9,3.1,0.0
00109420,0.0,632.0,7.3,3.2,3.4,4.0,0.272,0.68,16.3,
001100,2.0,2042.0,21.0,3.5,6.0,48.0,0.048,0.12,67.0,0.0
0011110027641,0.0,2540.0,53.571426,7.142857,21.428572,3.5714285,0.0,0.0,17.857143,
0011110038333,3.0,598.0,12.5,3.5714,0.0,0.0,0.2857143,0.71428573,7.1429,
0011110080547,0.0,1510.0,2.0,2.0,14.0,0.0,0.0,0.0,80.0,1.0
0011152431697,2.0,155.0,0.0,0.0,0.5,8.6,0.0,0.0,9.2,0.0
0011160180426,0.0,293.0,5.1,2.1,2.1,1.2,0.296,0.74,2.8,1.0
0011210007970,0.0,241.0,0.5,0.0,1.3,7.2,2.32,5.8,0.0,0.0
0011359645156,3.0,1906.0,26.1,5.7,5.0,3.1,0.6,1.5,49.4,0.0
0011359650808,0.0,540.0,2.4,7.0,6.5,0.6,0.4,1.0,16.9,1.0
0011495709484,0.0,1191.0,8.8,4.1,14.0,3.5,0.4,1.0,35.0,1.0
001151,1.0,1990.0,18.0,1.9,7.0,48.0,0.0,0.0,70.0,0.0
0011524651067,3.0,1937.0,18.0,3.1,5.3,39.0,0.2,0.5,68.0,0.0
0011650025039,3.0,1773.0,10.0,4.8,9.7,4.5,1.08,2.7,70.0,0.0
00117449,0.0,183.0,0.1,0.1,0.4,8.9,0.012,0.03,10.1,0.0
00117692,3.0,1435.0,0.2,0.1,1.1,58.8,0.04,0.1,84.1,
00117739,4.0,1402.0,0.2,0.1,0.05,57.3,0.44,1.1,82.1,
0011848455570,1.0,660.0,10.0,0.0,16.0,0.0,0.10668,0.2667,1.0,1.0
00119948,0.0,222.0,0.8,1.9,2.7,2.2,0.204,0.51,7.8,
0012000030673,2.0,177.0,0.0,0.0,0.0,11.267606,0.008450705,0.02112676,11.267606,
0012000110467,6.0,70.0,0.0,0.0,0.0,4.1666665,0.035416666,0.088541664,4.1666665,0.0
0012000130922,8.0,84.0,0.0,0.0,0.0,5.0,0.036,0.09,5.0,0.0
0012000161155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0012000184222,7.0,177.0,0.0,0.0,0.0,11.5,0.0268,0.0669,11.5,0.0
0012000547409,8.0,201.0,0.0,0.0,0.0,12.6,0.0,0.0,12.6,0.0
0012157102421,3.0,502.0,1.8,3.0,3.6,18.0,0.0292,0.073,18.0,
00122580,3.0,1190.0,2.78,3.2,6.39,25.56,0.152,0.38,54.72,0.0
0012413390005,1.0,1494.0,0.0,11.0,0.0,64.0,0.48,1.2,93.0,
0012511921262,0.0,1632.0,0.0,0.0,0.0,96.0,0.0,0.0,99.0,
0012656100416,0.0,669.0,14.0,1.0,5.0,1.0,5.4,13.5,9.0,0.0
00127578,3.0,481.0,2.7,0.5,19.5,3.1,0.91,2.275,3.1,
00127875,0.0,619.0,5.9,0.5,23.3,0.4,0.948,2.37,0.4,
0012957101013,1.0,84.0,0.0,0.0,0.0,0.0,0.8,2.0,0.0,
001300,3.0,2113.0,26.0,3.3,7.0,33.0,0.36,0.9,59.0,0.0
00133265,1.0,2236.0,36.0,6.0,15.8,0.5,1.28,3.2,42.4,0.0
00133326,0.0,146.0,0.2,1.8,0.6,6.9,0.012,0.03,6.9,1.0
0013375503359,0.0,1950.0,19.0,6.8,7.1,17.0,0.004,0.01,64.0,
0013600000790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00137829,0.0,1925.0,17.9,8.2,11.1,4.9,0.452,1.13,59.5,
00138581,0.0,1883.0,15.9,4.8,12.7,3.2,0.496,1.24,61.7,
00138932,0.0,1753.0,10.8,8.9,9.1,2.3,0.552,1.38,66.9,0.0
0013964967401,0.0,2876.0,68.0,11.0,6.8,7.3,0.04,0.1,7.3,0.0
001403,3.0,2197.0,30.0,2.8,6.6,35.0,0.292,0.73,56.0,0.0
001404,3.0,2244.0,31.0,3.2,6.0,29.0,0.272,0.68,57.0,0.0
0014100079859,5.0,544.0,6.0,0.0,1.0,10.0,0.08,0.2,17.0,
0014100096979,4.0,2167.0,30.0,5.4,5.8,29.0,0.312,0.78,55.0,0.0
0014100097013,4.0,2167.0,29.0,0.0,6.0,33.0,0.32,0.8,58.0,0.0
0014100097037,5.0,1946.0,19.2,5.7,5.3,41.7,0.2,0.5,67.3,0.0
0014100098980,5.0,1950.0,21.0,2.2,4.8,35.0,0.196,0.49,64.0,0.0
0014100170952,4.0,1953.0,16.666666,3.3333333,10.0,0.0,0.8333333,2.0833333,66.666664,0.0
0014100170969,3.0,1953.0,20.0,3.3333333,6.6666665,3.3333333,0.76666665,1.9166666,66.666664,0.0
0014100197904,1.0,1953.0,16.666666,3.3333333,10.0,0.0,0.73333335,1.8333334,66.666664,
0014113210362,0.0,2577.0,52.1,0.0,21.1,4.9,0.32,0.8,10.3,0.0
0014113230131,0.0,2477.0,49.4,0.0,21.2,3.9,0.0,0.0,9.5,1.0
0014113240024,0.0,2648.0,53.0,10.0,20.0,3.0,0.08,0.2,20.0,
